mercurio    2.4d23  0.39    0.206   10.06
venus       4.9d24  0.72    0.007   7.41
terra       6.0d24  1.00    0.017   6.28
marte       6.6d23  1.52    0.093   5.09
jupiter     1.9d27  5.20    0.048   2.75
saturno     5.7d26  9.24    0.056   2.06
urano       8.8d25  19.19   0.046   1.43
netuno      1.03d26 30.06   0.010   1.14
plutao      6.0d24  39.53   0.248   0.99
